ticker,name,market,sectorName
005930,삼성전자,KOSPI,반도체
000660,SK하이닉스,KOSPI,반도체
373220,LG에너지솔루션,KOSPI,2차전지
207940,삼성바이오로직스,KOSPI,바이오
005935,삼성전자우,KOSPI,반도체
005380,현대차,KOSPI,자동차
000270,기아,KOSPI,자동차
068270,셀트리온,KOSPI,바이오
005490,POSCO홀딩스,KOSPI,철강
035420,NAVER,KOSPI,IT
055550,신한지주,KOSPI,금융
012330,현대모비스,KOSPI,자동차
105560,KB금융,KOSPI,금융
006400,삼성SDI,KOSPI,2차전지
028260,삼성물산,KOSPI,지주사
051910,LG화학,KOSPI,화학
035720,카카오,KOSPI,IT
034730,SK,KOSPI,지주사
015760,한국전력,KOSPI,유틸리티
032830,삼성생명,KOSPI,보험
086790,하나금융지주,KOSPI,금융
066570,LG전자,KOSPI,전자
003670,포스코퓨처엠,KOSPI,2차전지
017670,SK텔레콤,KOSPI,통신
096770,SK이노베이션,KOSPI,에너지
011200,HMM,KOSPI,해운
316140,우리금융지주,KOSPI,금융
010130,고려아연,KOSPI,금속
042660,한화오션,KOSPI,조선
090430,아모레퍼시픽,KOSPI,화장품
009150,삼성전기,KOSPI,전자
047050,포스코인터내셔널,KOSPI,상사
003550,LG,KOSPI,지주사
018260,삼성에스디에스,KOSPI,IT
024110,기업은행,KOSPI,금융
034020,두산에너빌리티,KOSPI,중공업
138040,메리츠금융지주,KOSPI,금융
272210,한화시스템,KOSPI,방산
009830,한화솔루션,KOSPI,화학
036460,한국가스공사,KOSPI,유틸리티
010950,S-Oil,KOSPI,에너지
033780,KT&G,KOSPI,소비재
005250,풍산,KOSPI,금속
000720,현대건설,KOSPI,건설
001040,CJ,KOSPI,지주사
000810,삼성화재,KOSPI,보험
000100,유한양행,KOSPI,제약
329180,HD현대중공업,KOSPI,조선
267260,HD현대일렉트릭,KOSPI,전기
028050,삼성엔지니어링,KOSPI,건설
012450,한화에어로스페이스,KOSPI,방산
030200,KT,KOSPI,통신
097950,CJ제일제당,KOSPI,식품
002790,아모레G,KOSPI,지주사
071050,한국금융지주,KOSPI,금융
010140,삼성중공업,KOSPI,조선
004020,현대제철,KOSPI,철강
011790,SKC,KOSPI,화학
078930,GS,KOSPI,지주사
006800,미래에셋증권,KOSPI,증권
009540,HD한국조선해양,KOSPI,조선
006360,GS건설,KOSPI,건설
128940,한미약품,KOSPI,제약
079160,CJ CGV,KOSPI,미디어
000880,한화,KOSPI,지주사
000120,CJ대한통운,KOSPI,물류
008770,호텔신라,KOSPI,유통
047810,한국항공우주,KOSPI,방산
010620,HD현대미포,KOSPI,조선
161390,한국타이어앤테크놀로지,KOSPI,타이어
003490,대한항공,KOSPI,항공
180640,한진칼,KOSPI,지주사
011170,롯데케미칼,KOSPI,화학
001450,현대해상,KOSPI,보험
069960,현대백화점,KOSPI,유통
139480,이마트,KOSPI,유통
007070,GS리테일,KOSPI,유통
005300,롯데칠성,KOSPI,식품
004990,롯데지주,KOSPI,지주사
023530,롯데쇼핑,KOSPI,유통
011070,LG이노텍,KOSPI,전자
001740,SK네트웍스,KOSPI,상사
000210,DL,KOSPI,지주사
020000,한섬,KOSPI,패션
105630,한세실업,KOSPI,패션
042700,한미반도체,KOSPI,반도체
009450,경동나비엔,KOSPI,가전
120110,코오롱인더,KOSPI,화학
036570,엔씨소프트,KOSPI,게임
251270,넷마블,KOSPI,게임
018880,한온시스템,KOSPI,자동차부품
016360,삼성증권,KOSPI,증권
006280,녹십자,KOSPI,제약
114090,GKL,KOSPI,레저
003230,삼양식품,KOSPI,식품
007310,오뚜기,KOSPI,식품
000080,하이트진로,KOSPI,식품
145990,삼양사,KOSPI,식품
267250,HD현대,KOSPI,지주사
036530,S&T모티브,KOSPI,자동차부품
088350,한화생명,KOSPI,보험
001680,대상,KOSPI,식품
